Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb_top.uut.ram.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Tiempo | addr        | valid ready | wstrb | tx_req | tx_data
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:51
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:84
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
             1435000 | 00000018 |   0     0   |  0000   |   0    |   00
             1445000 | 00000018 |   1     0   |  1111   |   0    |   00
             1455000 | 00000018 |   1     1   |  1111   |   0    |   00
             1465000 | 00000018 |   0     0   |  1111   |   0    |   00
             1485000 | 00000008 |   1     0   |  0000   |   0    |   00
             1495000 | 00000008 |   1     1   |  0000   |   0    |   00
             1505000 | 00000008 |   0     0   |  0000   |   0    |   00
             1525000 | 0000000c |   1     0   |  0000   |   0    |   00
             1535000 | 0000000c |   1     1   |  0000   |   0    |   00
             1545000 | 0000000c |   0     0   |  0000   |   0    |   00
             1565000 | 00000010 |   1     0   |  0000   |   0    |   00
             1575000 | 00000010 |   1     1   |  0000   |   0    |   00
             1585000 | 00000010 |   0     0   |  0000   |   0    |   00
             1595000 | 00000018 |   1     0   |  1111   |   0    |   00
             1605000 | 00000018 |   1     1   |  1111   |   0    |   00
             1615000 | 00000018 |   0     0   |  1111   |   0    |   00
             1635000 | 00000014 |   1     0   |  0000   |   0    |   00
             1645000 | 00000014 |   1     1   |  0000   |   0    |   00
             1655000 | 00000014 |   0     0   |  0000   |   0    |   00
             1675000 | 00000018 |   1     0   |  0000   |   0    |   00
             1685000 | 00000018 |   1     1   |  0000   |   0    |   00
             1695000 | 00000018 |   0     0   |  0000   |   0    |   00
             1705000 | 00000018 |   1     0   |  1111   |   0    |   00
             1715000 | 00000018 |   1     1   |  1111   |   0    |   00
             1725000 | 00000018 |   0     0   |  1111   |   0    |   00
             1745000 | 00000008 |   1     0   |  0000   |   0    |   00
             1755000 | 00000008 |   1     1   |  0000   |   0    |   00
             1765000 | 00000008 |   0     0   |  0000   |   0    |   00
             1785000 | 0000000c |   1     0   |  0000   |   0    |   00
             1795000 | 0000000c |   1     1   |  0000   |   0    |   00
             1805000 | 0000000c |   0     0   |  0000   |   0    |   00
             1825000 | 00000010 |   1     0   |  0000   |   0    |   00
             1835000 | 00000010 |   1     1   |  0000   |   0    |   00
             1845000 | 00000010 |   0     0   |  0000   |   0    |   00
             1855000 | 00000018 |   1     0   |  1111   |   0    |   00
             1865000 | 00000018 |   1     1   |  1111   |   0    |   00
             1875000 | 00000018 |   0     0   |  1111   |   0    |   00
             1895000 | 00000014 |   1     0   |  0000   |   0    |   00
